navn,organisasjonsnummer,antall_ansatte,kommune,naeringskode
----ADVOKATFIRMAET CATO MYHRE,934551435,0,OSLO,Juridisk tjenesteyting
-G- GROUP AS,989061593,0,OSLO,Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av it-systemer
'PATAPHYSIKA Remi Nilsen,988434353,0,OSLO,Annen undervisning ellers
(THENOTIONNOOK) KVISLER,934759249,0,OSLO,Formidlingstjenester tilknyttet detaljhandel med spesialisert vareutvalg
@ ALEXANDER JOSEPH JOHANSEN,932803747,0,OSLO,Detaljhandel med informasjons- og kommunikasjonsteknologiutstyr
@ON PADTHAI TAKEAWAY CHAICHIT,927474514,0,OSLO,Drift av restauranter
@RNEBLIKK AS,924829214,0,OSLO,"Spesialiserte legetjenester, unntatt psykiatriske legetjenester"
***THOLDZ*** 2000 AS,934080246,0,OSLO,Uoppgitt
&DALE AS,932685256,0,OSLO,Pr og kommunikasjonstjenester
&MORE AS,812467182,0,OSLO,Annen teknisk konsulentvirksomhet
&ROBUST AS,930696404,0,OSLO,"Industri-, produkt- og motedesignvirksomhet"
&YTECH AS,934983564,0,OSLO,Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av it-systemer
# URBAN STRONG AND PROUD,835953742,0,OSLO,Aktiviteter i andre medlemsorganisasjoner ellers
+ FONELL,931509314,0,OSLO,Reklamebyråvirksomhet
+2 INTERIØR AS,995451697,0,OSLO,Interiørdesignvirksomhet
= OSLO (ERLIK OSLO) DA,989995278,0,OSLO,Nyhetsbyråvirksomhet
0 - 6 ULLENSAKERGATA BARNEHAGE AS,994151010,21,OSLO,Førskoleundervisning og drift av barnehager
0 - 6 UTVIKLING NEDERHOED,986405887,0,OSLO,Grafisk design og visuell kommunikasjonsdesign
0 - 6 VÅLERENGGATA BARNEHAGE AS,999286976,19,OSLO,Førskoleundervisning og drift av barnehager
0.500 NULL.FEMHUNDRE,916010214,0,OSLO,Sportsaktiviteter ikke nevnt annet sted
0001 INVEST AS,921826885,0,OSLO,Andre egeninvesteringsselskaper
006 HOLDING AS,934893824,0,OSLO,Produksjon og utgivelse av musikk- og lydopptak
00ROLF Olsen,993933082,0,OSLO,Kontortjenester
00SMART AS,935211026,0,OSLO,
010 IDÉLAB HENRIK ALFHEIM,928148424,0,OSLO,Reklamebyråvirksomhet
0186 BARDRIFT AS,929431650,15,OSLO,Drift av barer
02 KLUBBEN,919939397,0,OSLO,Aktiviteter i andre medlemsorganisasjoner ellers
04 HOLDING AS,932133563,0,OSLO,Uoppgitt
04 INVEST AS,929751353,0,OSLO,Utleie og leasing av andre maskiner og annet utstyr og materiell ikke nevnt annet sted
06 BOYS AS,929403819,0,OSLO,Utøvende kunstnerisk virksomhet og underholdningsvirksomhet innenfor musikk
06 TOMMY RYKHUS JOHANSEN,919725737,0,OSLO,Skapende kunstnerisk virksomhet innenfor komposisjon av musikk
075X INVEST AS,926116002,0,OSLO,Uoppgitt
08 OSLO MARITIME AS,825769242,0,OSLO,Annen teknisk konsulentvirksomhet
0DIN HOLDING AS,917218285,0,OSLO,Andre egeninvesteringsselskaper
0XHOLDING AS,920464963,0,OSLO,Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av it-systemer
1 BEKKELAGET SPEIDERGRUPPE,997040244,0,OSLO,Aktiviteter i andre medlemsorganisasjoner ellers
1 BUDDY HOLDING AS,918085726,0,OSLO,Uoppgitt
1 GLAD AS,935967414,0,OSLO,Drift av restauranter
1 HJELPENDE HÅND AS,925273236,24,OSLO,Kombinerte tjenester tilknyttet eiendomsdrift
1 INDUSTRIVEI 4 DA,870949812,0,OSLO,Utleie av egen eller leid fast eiendom
1 MALERSERVICE HOUSSA JAGOUJ,919843217,0,OSLO,Maler- og glassarbeid
1 NYTT AS,935958385,0,OSLO,Reklamebyråvirksomhet
1 NYTT BRA AS,835958612,0,OSLO,Reklamebyråvirksomhet
1 OSLO RENHOLDSSERVICE AS,929032470,10,OSLO,Rengjøring av bygninger
1 TOUCH 5 STARS PISULA,926688405,0,OSLO,Rengjøring av bygninger
1 ØRE AS,935751837,0,OSLO,Detaljhandel med brukte varer
1-VESTRE AKER ST. GEORGSGILDE,919345659,0,OSLO,Aktiviteter i andre medlemsorganisasjoner ellers
1. GRORUD SPEIDERGRUPPE,983610854,0,OSLO,Aktiviteter i andre medlemsorganisasjoner ellers
1. HAUGERUD SPEIDERGRUPPE AV NORGES SPEIDERFORBUND,996239977,0,OSLO,Aktiviteter i andre medlemsorganisasjoner ellers
1. NORDSTRAND SPEIDERGRUPPE,819302332,0,OSLO,Aktiviteter i andre medlemsorganisasjoner ellers
1. VÅLERENGA SPEIDERGRUPPE,986606130,0,OSLO,Aktiviteter i andre medlemsorganisasjoner ellers
1% FESTENYTT AS,830006672,0,OSLO,Utleie av egen eller leid fast eiendom
1+1 ARCHITECTS AS,999292364,0,OSLO,Arkitektvirksomhet
10. APRIL ANS,991272658,0,OSLO,"All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted"
10. KLASSETUR SAGENE SKOLE,929308913,0,OSLO,Aktiviteter i andre medlemsorganisasjoner ellers
10/10 TEKSTILTRYKKERI AS,998781558,24,OSLO,Etterbehandling av tekstiler
10%BERLIN AS,916053770,0,OSLO,Utvikling og salg av byggeprosjekter
100 % LYD KENNETH GUSTAVSEN,976498062,0,OSLO,Andre tjenester tilknyttet kunstnerisk virksomhet og underholdningsvirksomhet
100 METER SKOGEN AS,994084232,0,OSLO,Uoppgitt
100 MILE AS,932612976,0,OSLO,Uoppgitt
100% LYD AS,924790822,0,OSLO,Andre tjenester tilknyttet kunstnerisk virksomhet og underholdningsvirksomhet
1000 & 1 DIGITALE EVENTYR DA,878684672,0,OSLO,Annen forretningsmessig tjenesteyting ikke nevnt annet sted
1001 FORTELLINGER TUVA ROSENLUND,990788782,0,OSLO,"Produksjon av film, video og fjernsynsprogrammer"
1001 ROM Kathrine Sørgård,989011766,0,OSLO,Skapende kunstnerisk virksomhet innenfor litteratur
101 TECH AS,923810390,0,OSLO,Dataprogrammeringstjenester
1012 PROJECT AISTE CESNAUSKAITE,924965304,0,OSLO,Utøvende kunstnerisk virksomhet og underholdningsvirksomhet innenfor scenekunst
1054 ENTERTAINMENT DANIEL MCMANUS AMPONG,921391722,0,OSLO,"All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted"
1068 RECORDS JONAS SÆRVOLD,922695245,0,OSLO,Utøvende kunstnerisk virksomhet og underholdningsvirksomhet innenfor musikk
1080 MAP AS,996638707,0,OSLO,Undervisning innenfor idrett og rekreasjon
10COM AS,990012237,0,OSLO,Bedriftsrådgivning og annen administrativ rådgivning
10FOLD AS,819767122,0,OSLO,Bedriftsrådgivning og annen administrativ rådgivning
10X INVESTMENT AS,927387336,0,OSLO,Uoppgitt
11 STARS IDRETTSLAG,818278462,0,OSLO,Aktiviteter i idrettslag og -klubber
11:11 SKINCARE AS,830861742,0,OSLO,Detaljhandel med kosmetikk og toalettartikler
110% MANAGEMENT AS,930240427,0,OSLO,Andre tjenester tilknyttet kunstnerisk virksomhet og underholdningsvirksomhet
1111 SOLUTIONS LTD,935939151,0,,Utleie av arbeidskraft og andre personaladministrative tjenester
1118 ASSETS AS,930664766,0,OSLO,Uoppgitt
1118 IMPORTS KRISTIAN MAGNUS DAHL DYRSETH,918541934,0,OSLO,"Engroshandel med kaffe, te, kakao og krydder"
11A HOLDING AS,919543906,0,OSLO,Byggeteknisk konsulentvirksomhet
11C PARTNERS AS,928688933,0,OSLO,Uoppgitt
12 ELDORADO CREEK AS,929236955,0,OSLO,Uoppgitt
12 ROUNDS NUF,931676881,0,OSLO,Undervisning innenfor idrett og rekreasjon
12 YEARS AGENCY AS,922903107,0,OSLO,Annen undervisning ellers
"12,7 AUDIO ANDERS EMIL GJELSVIK",916501838,0,OSLO,Andre tjenester tilknyttet kunstnerisk virksomhet og underholdningsvirksomhet
"120 - EN ARKITEKTKONKURRANSE FOR STUDENTER, AV STUDENTER",996406148,0,,Aktiviteter i andre medlemsorganisasjoner ellers
123 HOUSING AS,821066212,0,OSLO,Utleie av egen eller leid fast eiendom
123 TRANSPORT THOMAS REKSTEN,915971733,0,OSLO,Andre post- og budtjenester
123-BYGG.NO BERNTSEN,829619342,0,OSLO,Oppføring av bygninger
1242 APPS AS,924526327,0,OSLO,Dataprogrammeringstjenester
127DB,987774630,0,OSLO,Aktiviteter i andre medlemsorganisasjoner ellers
13 HOLDING AS,935214025,0,OSLO,Bedriftsrådgivning og annen administrativ rådgivning
13 INVEST AS,918304460,0,OSLO,Utvikling og salg av byggeprosjekter
13/16 HOLDING AS,921078528,0,OSLO,Regnskapsføring og bokføring
1313 SELAH AS,830697322,0,OSLO,Detaljhandel med klær
1337 INVEST AS,917825491,0,OSLO,Andre egeninvesteringsselskaper
1337 REGNSKAP AS,836193962,0,OSLO,Regnskapsføring og bokføring
1349 INVEST AS,917337837,0,OSLO,Uoppgitt
137 AKTIV,936434002,0,OSLO,Aktiviteter i idrettslag og -klubber
13BYTES AS,924389532,0,OSLO,Uoppgitt
14 COMPANIES LIMITED,927155796,0,OSLO,"Detaljhandel med ur, klokker og smykker"
14. AUGUSTKOMITEEN NORGE,886250312,0,OSLO,Aktiviteter i andre medlemsorganisasjoner ellers
14016 NTL MILJØVERNDEPARTEMENTET,995488949,0,OSLO,Aktiviteter i arbeidstakerorganisasjoner
1423 NORGE AS,928285251,0,OSLO,Engroshandel med drikkevarer
144 EDUCATION NGO,917569142,0,OSLO,Aktiviteter i andre medlemsorganisasjoner ellers
1450 HOLDING AS,927135469,0,OSLO,Uoppgitt
15 KNOP AS,915915833,0,OSLO,Bedriftsrådgivning og annen administrativ rådgivning
15 MEANINGS AS,993188921,0,OSLO,Dataprogrammeringstjenester
1540 HERITAGE CAPITAL AS,921994605,0,OSLO,Uoppgitt
16 HOLDING AS,929170806,0,NORDRE FOLLO,Reklamebyråvirksomhet
1646 PROPERTIES BIDCO AS,934937120,0,OSLO,Kjøp og salg av egen fast eiendom
1646 PROPERTIES HOLDCO AS,934937384,0,OSLO,Kjøp og salg av egen fast eiendom
16RAA SPORSHEIM,925299081,0,OSLO,"All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted"
17 OSLO KAMPIANERNE SPEIDERGRUPPE,883464982,0,,Aktiviteter i andre medlemsorganisasjoner ellers
17 RECORDS AS,932772094,0,OSLO,Aktiviteter utført av utflukts- og eventarrangører
1750 INVEST AS,989395734,0,OSLO,Andre egeninvesteringsselskaper
18 WARD AS,932039613,0,OSLO,Bedriftsrådgivning og annen administrativ rådgivning
180.NO NUMMEROPPLYSNINGEN AS,987428317,12,OSLO,Drift av søkemotorer
1818 OPPLYSNINGSTJENESTEN AS,994936093,0,OSLO,Telefonvakttjenester og telefonsalg
1842 HOLDING AS,828034812,0,OSLO,Uoppgitt
1846 CLAUSEN HOLDING AS,931701088,0,OSLO,Utleie av egen eller leid fast eiendom
1863 PROPERTIES AS,934072391,0,OSLO,Utleie av egen eller leid fast eiendom
1881 GROUP AS,918124934,0,BÆRUM,Drift av søkemotorer
1894 AASTORP TEKNISK RÅDGIVNING,933299651,0,OSLO,Annen teknisk konsulentvirksomhet
1896 INVEST AS,996953076,0,OSLO,Andre egeninvesteringsselskaper
19 EIGHTYSIX VENTURES AS,936365442,0,OSLO,Drift av restauranter
19 HERTZ HOLDING AS,935824443,0,OSLO,Uoppgitt
19:10 HOLDING AS,935213568,0,OSLO,Uoppgitt
1912 NÆRING 1 AS,993410489,0,OSLO,Utleie av egen eller leid fast eiendom
1912 TOP HOLDING AS,912055744,0,OSLO,"Engroshandel med tømmer, trelast, byggevarer og sanitærutstyr"
1969 TATTOO ART-IAM,992104228,0,OSLO,Andre personlige tjenester ikke nevnt annet sted
1982 DIANA TIARI,923799753,0,OSLO,Skjønnhetspleie
1991 PRODUKSJON AS,930325686,0,OSLO,Andre tjenester tilknyttet kunstnerisk virksomhet og underholdningsvirksomhet
1993 NTOKO,933032795,0,OSLO,Andre post- og budtjenester
1993 SOLLY BYGG OG ANLEGG,927704870,0,OSLO,Maler- og glassarbeid
1995 PRODUCTIONS BRANDMO,933853624,0,OSLO,Aktiviteter utført av utflukts- og eventarrangører
